smiles,fitness,generation,selfies
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3scc4[se]ccc34)c2N=1,9.901199999999996,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][Se][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][N][=Ring2][Ring1][P][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3ncncn3)c2[SiH2]1,6.264900000000004,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=Branch2][C][=N][C][=N][C][=N][Ring1][=Branch1][=C][Ring2][Ring1][O][SiH2][Ring2][Ring1][=C][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3ccc[se]3)c2[SiH2]1,7.136900000000005,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][Branch2][C][=C][C][=C][Se][Ring1][Branch1][=C][Ring2][Ring1][#Branch2][SiH2][Ring2][Ring1][=N][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3ccccn3)c2C1,9.265799999999995,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][Ring2][Ring1][O][C][Ring2][Ring1][=C][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3scc4[se]ccc34)c2[SiH2]1,8.3516,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][Se][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][SiH2][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3ccc[nH]3)c2C1,9.198899999999997,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][Branch2][C][=C][C][=C][NH1][Ring1][Branch1][=C][Ring2][Ring1][#Branch2][C][Ring2][Ring1][=N][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3scc4occc34)c2[SiH2]1,8.887599999999996,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][O][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][SiH2][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3scc4occc34)c2C1,10.678499999999993,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][O][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][C][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4sccc34)sc(-c3ncncn3)c2[SiH2]1,6.264900000000004,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=Branch2][C][=N][C][=N][C][=N][Ring1][=Branch1][=C][Ring2][Ring1][O][SiH2][Ring2][Ring1][=C][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
c1c[se]c(-c2sc(-c3sc(-c4scc5ccsc45)c4sccc34)c3ccsc23)c1,9.573199999999993,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][Branch2][C][=C][C][=C][Se][Ring1][Branch1][=C][Ring2][Ring1][#Branch2][S][Ring2][Ring1][=N][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
