smiles,fitness,generation
c1cc2c(-c3sc(-c4sc(-c5scc6cc[se]c56)c5ccoc45)c4sccc34)scc2o1                      ,9.850899999999994,0
c1cc2c(-c3sc(-c4nccc5nsnc45)c4occc34)sc(-c3scc4[se]ccc34)c2[nH]1                  ,7.709500000000003,0
c1cc2c(-c3sc(-c4sc(-c5cncs5)c5sccc45)c4[nH]ccc34)scc2[nH]1                        ,8.5059,0
c1cc2c(-c3sc(-c4sc(-c5scc6nccnc56)c5occc45)c4[se]ccc34)scc2o1                     ,8.579399999999998,0
c1cc2c(-c3sc(-c4sc(-c5ncncn5)c5[se]ccc45)c4occc34)sc(-c3ccc[se]3)c2[nH]1          ,7.218800000000003,0
c1cc2c(-c3sc(-c4ccc(-c5nccc6nsnc56)s4)c4occc34)scc2o1                             ,7.764200000000002,0
c1cc2c(-c3sc(-c4cncc5nsnc45)c4sccc34)ccc(-c3scc4sccc34)c2c1                       ,-100.0,0
c1cc2c(-c3sc(-c4ccc(-c5scc6cc[se]c56)cc4)c4cc[nH]c34)scc23                        ,-100.0,0
c1cc2c(-c3sc(-c4sc(-c5scc6ccoc56)c5ccoc45)c4occc34)scc2o1                         ,9.918399999999993,0
c1cc2c(-c3sc(-c4ccc(-c5scc6nccnc56)cn4)c4cc[se]c34)scc2[nH]1                      ,6.901800000000002,0
c1cc2c(-c3sc(-c4sc(-c5scc6ccoc56)c5cc[se]c45)c4ccsc34)scc2[nH]1                   ,9.585999999999993,0
c1cc2c(-c3sc(-c4cnc(-c5scc6cc[se]c56)c5nsnc45)c4ccoc34)scc2s1                     ,8.442899999999998,0
c1cc2c(-c3sc(-c4scc5ccsc45)c4ccoc34)sc(-c3scc4ccoc34)c2[nH]1                      ,10.121999999999995,0
c1cc2c(-c3sc(-c4scc5cc[se]c45)c4[se]ccc34)sc(-c3ncncn3)c2[nH]1                    ,5.958800000000003,0
c1cc2c(-c3sc(-c4sc(-c5cncs5)c5[se]ccc45)c4ccoc34)scc2[nH]1                        ,7.766300000000002,0
c1cc2c(-c3sc(-c4ccc(-c5ncncn5)nc4)c4ccsc34)scc2o1                                 ,6.351500000000003,0
c1cc2c(-c3sc(-c4ccc(-c5scc6occc56)cn4)c4occc34)scc2[nH]1                          ,8.240800000000002,0
c1cc2c(-c3sc(-c4nccc5nsnc45)c4sccc34)scc2[nH]1                                    ,6.239300000000002,0
c1cc2c(-c3sc(-c4cnc(-c5scc6[se]ccc56)s4)c4ccsc34)scc2s1                           ,8.968199999999996,0
c1cc2c(-c3sc(-c4scc5ccoc45)c4[nH]ccc34)scc2[nH]1                                  ,6.913900000000002,0
c1cc2c(-c3sc(-c4Ccc5[nH]ccc45)c4cc[nH]c34)sc(-c3cncs3)c2[nH]1                     ,5.274000000000002,0
c1cc2c(-c3sc(-c4ccc(-c5scc6sccc56)s4)c4[se]ccc34)scc2o1                           ,9.104699999999996,0
c1cc2c(-c3sc(-c4scc5ccoc45)c4cc[nH]c34)sc(-c3cncs3)c2[nH]1                        ,8.037400000000003,0
c1cc2c(-c3sc(-c4cncc5nsnc45)c4cc[nH]c34)sc(-c3scc4occc34)c2[nH]1                  ,7.980600000000003,0
c1cc2c(-c3sc(-c4cncs4)c4cc[nH]c34)sc(-c3cncs3)c2n1                                ,-100.0,0
c1cc2c(-c3sc(-c4scc5cc[se]c45)c4ccsc34)sc(-c3cncs3)c2o1                           ,8.499699999999999,0
c1cc2c(-c3sc(-c4scc5[se]ccc45)c4ccoc34)scc2s1                                     ,7.3762000000000025,0
c1cc2c(-c3sc(-c4cnc(-c5scc6cc[se]c56)c5cscc45)nc3)cccc2c1                         ,-100.0,0
c1cc2c(-c3sc(-c4scc5cc[se]c45)c4[se]ccc34)sc(-c3nccs3)c2o1                        ,7.495200000000003,0
c1cc2c(-c3sc(-c4cncs4)c4ccoc34)scc2[nH]1                                          ,5.827600000000002,0
c1cc2c(-c3sc(-c4scc5sccc45)c4ccoc34)sc(-c3cncc4nsnc34)c2[nH]1                     ,8.713999999999997,0
c1cc2c(-c3sc(-c4ccc(-c5scc6ccoc56)cc4)c4cc[se]c34)scc2[nH]1                       ,8.309800000000003,0
c1cc2c(-c3sc(-c4sc(-c5cncs5)c5occc45)c4occc34)scc2o1                              ,8.567199999999998,0
c1cc2c(-c3sc(-c4scc5sccc45)c4[se]ccc34)sc(-c3cncc4nsnc34)c2o1                     ,8.442899999999998,0
